template_id,matched_set_id,base_profile_id,profile_slot,occupation_id,occupation_tier,target_role,onet_soc_code,onet_title,source_url,years_experience,education,skills,employer_history,experience_summary,achievement
production_supervisor_p1,production_supervisor_p1,production_supervisor_p1,1,production_supervisor,frontline,Production Operations Supervisor,51-1011.00,First-Line Supervisors of Production and Operating Workers,https://www.onetonline.org/link/summary/51-1011.00,7,Associate degree in Operations Management,production scheduling; lean operations; safety compliance; quality control; ERP reporting,Northstar Components; Harbor Manufacturing,"Supervised two assembly lines, coordinated shift staffing, and managed daily output and quality reviews.",Raised on-time production from 88% to 96% while reducing scrap by 13%.
production_supervisor_p2,production_supervisor_p2,production_supervisor_p2,2,production_supervisor,frontline,Production Operations Supervisor,51-1011.00,First-Line Supervisors of Production and Operating Workers,https://www.onetonline.org/link/summary/51-1011.00,7,Associate degree in Operations Management,production scheduling; lean operations; safety compliance; quality control; ERP reporting,Crestline Packaging; Meridian Foods,Led packaging operations across rotating shifts and worked with maintenance and quality teams on downtime reduction.,Reduced unplanned downtime by 18% and overtime hours by 11%.
production_supervisor_p3,production_supervisor_p3,production_supervisor_p3,3,production_supervisor,frontline,Production Operations Supervisor,51-1011.00,First-Line Supervisors of Production and Operating Workers,https://www.onetonline.org/link/summary/51-1011.00,7,Associate degree in Operations Management,production scheduling; lean operations; safety compliance; quality control; ERP reporting,Summit Plastics; BlueRiver Industrial,"Managed frontline operators, work orders, material staging, and safety inspections in a high-volume plant.",Improved schedule attainment by 9 percentage points and completed a year without a lost-time incident.
production_supervisor_p4,production_supervisor_p4,production_supervisor_p4,4,production_supervisor,frontline,Production Operations Supervisor,51-1011.00,First-Line Supervisors of Production and Operating Workers,https://www.onetonline.org/link/summary/51-1011.00,7,Associate degree in Operations Management,production scheduling; lean operations; safety compliance; quality control; ERP reporting,Atlas Fabrication; PineWorks Equipment,"Coordinated fabrication cells, daily tier meetings, staffing coverage, and corrective-action follow-up.",Cut changeover time by 21% and increased first-pass yield to 97%.
registered_nurse_p1,registered_nurse_p1,registered_nurse_p1,1,registered_nurse,frontline,Clinical Operations Registered Nurse,29-1141.00,Registered Nurses,https://www.onetonline.org/link/summary/29-1141.00,6,Bachelor of Science in Nursing,patient assessment; care coordination; electronic health records; clinical escalation; quality improvement,Riverside Medical Center; Oak Valley Clinic,"Delivered inpatient care, coordinated discharge plans, and trained new nurses on documentation and escalation standards.",Reduced discharge-documentation delays by 24% and maintained 98% medication-reconciliation compliance.
registered_nurse_p2,registered_nurse_p2,registered_nurse_p2,2,registered_nurse,frontline,Clinical Operations Registered Nurse,29-1141.00,Registered Nurses,https://www.onetonline.org/link/summary/29-1141.00,6,Bachelor of Science in Nursing,patient assessment; care coordination; electronic health records; clinical escalation; quality improvement,Mercy Harbor Hospital; Greenfield Health,"Managed a mixed medical-surgical caseload and partnered with physicians, pharmacy, and case management.",Improved hourly rounding compliance from 81% to 95% and lowered preventable readmissions on the unit.
registered_nurse_p3,registered_nurse_p3,registered_nurse_p3,3,registered_nurse,frontline,Clinical Operations Registered Nurse,29-1141.00,Registered Nurses,https://www.onetonline.org/link/summary/29-1141.00,6,Bachelor of Science in Nursing,patient assessment; care coordination; electronic health records; clinical escalation; quality improvement,Lakeside Community Hospital; Northview Care,"Provided direct patient care, led shift handoffs, and supported infection-control audits.",Raised handoff completeness to 97% and helped reduce unit-acquired infections by 16%.
registered_nurse_p4,registered_nurse_p4,registered_nurse_p4,4,registered_nurse,frontline,Clinical Operations Registered Nurse,29-1141.00,Registered Nurses,https://www.onetonline.org/link/summary/29-1141.00,6,Bachelor of Science in Nursing,patient assessment; care coordination; electronic health records; clinical escalation; quality improvement,Starlight Health System; Elm Street Clinic,"Coordinated complex patient needs, triaged changes in condition, and coached staff on clinical workflows.",Shortened average care-plan completion time by 19% while maintaining patient-safety targets.
maintenance_worker_p1,maintenance_worker_p1,maintenance_worker_p1,1,maintenance_worker,frontline,Facilities Maintenance Lead,49-9071.00,"Maintenance and Repair Workers, General",https://www.onetonline.org/link/summary/49-9071.00,7,Technical diploma in Industrial Maintenance,preventive maintenance; electrical troubleshooting; HVAC basics; work-order systems; safety procedures,Cedar Property Services; Metro Facilities,Completed preventive and corrective maintenance across commercial buildings and coordinated specialist vendors.,Improved preventive-maintenance completion from 84% to 97% and reduced repeat work orders by 15%.
maintenance_worker_p2,maintenance_worker_p2,maintenance_worker_p2,2,maintenance_worker,frontline,Facilities Maintenance Lead,49-9071.00,"Maintenance and Repair Workers, General",https://www.onetonline.org/link/summary/49-9071.00,7,Technical diploma in Industrial Maintenance,preventive maintenance; electrical troubleshooting; HVAC basics; work-order systems; safety procedures,Evergreen Distribution; Horizon Services,"Maintained conveyors, dock equipment, lighting, plumbing, and building systems in a distribution facility.",Reduced equipment-related downtime by 17% and closed 93% of priority work orders within target.
